"lever","scenario","median_T","p50","p20"
"Status quo","No vaccination",Inf,0,0
"Paper base case","89% total efficacy, lifelong immunity, all calves",27.1260273972603,0.99,0.09
"Peak efficacy, lifelong immunity","95% total efficacy",23.3041095890411,1,0.235
"Peak efficacy, lifelong immunity","100% total efficacy",19.5232876712329,1,0.53
"Coverage of calves at birth","90% of calves vaccinated",32.6328767123288,0.93,0.035
"Coverage of calves at birth","80% of calves vaccinated",38.6739726027397,0.75,0.015
"Coverage of calves at birth","70% of calves vaccinated",54.0849315068493,0.435,0
"Duration of immunity, birth dose only","10 years of immunity",29.0575342465753,0.985,0.065
"Duration of immunity, birth dose only","5 years of immunity",39.1260273972603,0.76,0.03
"Duration of immunity, birth dose only","18 months of immunity",Inf,0,0
"Duration of immunity, annual revaccination of the whole herd","18 months of immunity",26.5917808219178,0.975,0.13
"Duration of immunity, annual revaccination of the whole herd","12 months of immunity",31.3178082191781,0.945,0.045
"Duration of immunity, annual revaccination of the whole herd","6 months of immunity",Inf,0.02,0
"30-day window between birth and immunity, lifelong immunity","calf exposure equal to adults",29.0986301369863,0.99,0.06
"30-day window between birth and immunity, lifelong immunity","calf exposure 3 x adults",32.8383561643836,0.935,0.005
"30-day window between birth and immunity, lifelong immunity","calf exposure 10 x adults",61.4,0.265,0
